Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Standard_GA_Ablation,sphere,50,128,200,0.1,0.3,0.05,0.6,268.5392700195313,39.0743562616177,11601.180153015403,1.7152284510084428,0.01723962539690547
Standard_GA_Ablation,sphere,50,128,200,0.1,0.3,0.1,0.6,268.5392700195313,39.0743562616177,13056.60980833012,1.4861819509969791,0.015317911995225586
Standard_GA_Ablation,sphere,50,128,200,0.1,0.5,0.05,0.6,268.5392700195313,39.0743562616177,11657.885769975022,1.4865025769977365,0.017155769403325395
Standard_GA_Ablation,sphere,50,128,200,0.1,0.5,0.1,0.6,268.5392700195313,39.0743562616177,13164.665360768535,1.5097249530081172,0.015192182597820647
Standard_GA_Ablation,sphere,50,128,200,0.1,0.8,0.05,0.6,268.5392700195313,39.0743562616177,12709.409444923995,1.5346076440036995,0.01573637239926029
Standard_GA_Ablation,sphere,50,128,200,0.1,0.8,0.1,0.6,268.5392700195313,39.0743562616177,13597.3897492074,1.499146613990888,0.014708705397788435
Standard_GA_Ablation,sphere,50,128,200,0.3,0.3,0.05,0.6,268.5392700195313,39.0743562616177,12295.833523600071,1.5235159680014476,0.016265672401641496
Standard_GA_Ablation,sphere,50,128,200,0.3,0.3,0.1,0.6,268.5392700195313,39.0743562616177,13594.248287833578,1.4622413579927525,0.014712104396312497
Standard_GA_Ablation,sphere,50,128,200,0.3,0.5,0.05,0.6,268.5392700195313,39.0743562616177,12309.164557152302,1.5892055479926057,0.01624805640312843
Standard_GA_Ablation,sphere,50,128,200,0.3,0.5,0.1,0.6,268.5392700195313,39.0743562616177,13820.11997013311,1.500320951003232,0.014471654401859269
Standard_GA_Ablation,sphere,50,128,200,0.3,0.8,0.05,0.6,268.5392700195313,39.0743562616177,11517.02746684617,1.4604928519984242,0.017365591996349395
Standard_GA_Ablation,sphere,50,128,200,0.3,0.8,0.1,0.6,268.5392700195313,39.0743562616177,29092.5882137205,1.5154661790002137,0.00687460319895763
Standard_GA_Ablation,sphere,50,128,200,0.5,0.3,0.05,0.6,268.5392700195313,39.0743562616177,29394.917969066933,1.4995462019869592,0.006803897197823971
Standard_GA_Ablation,sphere,50,128,200,0.5,0.3,0.1,0.6,268.5392700195313,39.0743562616177,29563.564939143434,1.5452449779986637,0.006765083994832821
Standard_GA_Ablation,sphere,50,128,200,0.5,0.5,0.05,0.6,268.5392700195313,39.0743562616177,30025.088951761936,1.4605724860011833,0.006661096002790146
Standard_GA_Ablation,sphere,50,128,200,0.5,0.5,0.1,0.6,268.5392700195313,39.0743562616177,28978.025017875872,1.500749048005673,0.006901781604392454
Standard_GA_Ablation,sphere,50,128,200,0.5,0.8,0.05,0.6,268.5392700195313,39.0743562616177,28948.76244410437,1.505389551006374,0.006908758202916943
