Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.5,485.3296862792969,39.35403296133339,40670.356968964195,0.9543579790042713,0.004917586539813783
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.7,485.3296862792969,39.35403296133339,40989.31215057963,0.8396443339879625,0.004879320718173403
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.8,485.3296862792969,39.35403296133339,40995.640291163494,0.8664419550041202,0.004878567539853975
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.9,485.3296862792969,39.35403296133339,41028.20142828888,0.8867144050018396,0.0048746957711409775
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,1.0,485.3296862792969,39.35403296133339,41062.37071868711,0.8499752340139821,0.004870639383443631
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.5,485.3296862792969,39.35403296133339,40236.637617827444,1.0561913939891383,0.0049705942603759466
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.7,485.3296862792969,39.35403296133339,40566.380341775315,1.0355324200063478,0.004930190919549204
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.8,485.3296862792969,39.35403296133339,40977.76966367236,1.0299396790214814,0.004880695109604858
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.9,485.3296862792969,39.35403296133339,41131.370569167106,1.047923660982633,0.0048624686518451195
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,1.0,485.3296862792969,39.35403296133339,40472.519588047806,1.0441183169896249,0.004941624639031943
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.5,485.3296862792969,39.35403296133339,40895.66554280936,1.0554936020052992,0.004890493829734623
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.7,485.3296862792969,39.35403296133339,40626.19806965145,1.1000914420001209,0.004922931741166394
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.8,485.3296862792969,39.35403296133339,41200.18767823625,1.0883793890243396,0.004854346819047351
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.9,485.3296862792969,39.35403296133339,41520.40160701095,1.0335918409982696,0.004816909091896377
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,1.0,485.3296862792969,39.35403296133339,41471.58175384117,1.156744121981319,0.004822579500032589
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.5,485.3296862792969,39.35403296133339,41202.602942865524,1.0369787189993076,0.004854062261001673
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.7,485.3296862792969,39.35403296133339,41676.84396887692,1.032046445994638,0.0047988278610864655
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.8,485.3296862792969,39.35403296133339,40739.47201046487,1.019481823022943,0.0049092437906074335
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.9,485.3296862792969,39.35403296133339,41161.9135447509,1.0043473400000948,0.004858860601380002
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,1.0,485.3296862792969,39.35403296133339,40458.71812525707,1.0112219389993697,0.004943310348608065
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.5,485.3296862792969,39.35403296133339,40371.36730486421,1.1213816920062527,0.004954006102634594
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.7,485.3296862792969,39.35403296133339,40221.56589360302,1.016393686993979,0.0049724568289821035
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.8,485.3296862792969,39.35403296133339,41176.703100422346,1.0248578500177246,0.00485711543034995
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.9,485.3296862792969,39.35403296133339,41419.41742127549,1.0261769729841035,0.0048286531402845865
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,1.0,485.3296862792969,39.35403296133339,41636.72663520709,1.0435355110093951,0.0048034515717881735
Standard_GA,sphere,50,128,200,0.8,0.5,0.7,0.5,485.3296862792969,39.35403296133339,41374.02182530275,1.0965997900057118,0.0048339511407539245
Standard_GA,sphere,50,128,200,0.8,0.5,0.7,0.7,485.3296862792969,39.35403296133339,41127.17249379908,1.1166952940111514,0.0048629649906069975
Standard_GA,sphere,50,128,200,0.8,0.5,0.7,0.8,485.3296862792969,39.35403296133339,41421.27751238197,1.0893973270140123,0.0048284363016136925
Standard_GA,sphere,50,128,200,0.8,0.5,0.7,0.9,485.3296862792969,39.35403296133339,40627.99488659636,1.131680692982627,0.004922714019194245
Standard_GA,sphere,50,128,200,0.8,0.5,0.7,1.0,485.3296862792969,39.35403296133339,40596.215262085396,1.1356689789972734,0.004926567629736383
Standard_GA,sphere,50,128,200,0.8,0.8,0.5,0.5,485.3296862792969,39.35403296133339,42099.09603264599,0.856529075972503,0.004750695830734912
Standard_GA,sphere,50,128,200,0.8,0.8,0.5,0.7,485.3296862792969,39.35403296133339,41815.409747618316,0.8606924010091461,0.0047829257493140175
Standard_GA,sphere,50,128,200,0.8,0.8,0.5,0.8,485.3296862792969,39.35403296133339,41567.22616939829,0.8248408040089998,0.004811482950171922
Standard_GA,sphere,50,128,200,0.8,0.8,0.5,0.9,485.3296862792969,39.35403296133339,41780.80005065788,0.9287678459950257,0.0047868877512519245
Standard_GA,sphere,50,128,200,0.8,0.8,0.5,1.0,485.3296862792969,39.35403296133339,41095.18950634761,0.8511958559975028,0.004866749670763965
