Algorithm,Task,Dim,Pop_Size,Generations,hyperparam_mutation_rate,hyperparam_sigma,hyperparam_elite_ratio,hyperparam_crossover_rate,Mean_Fitness,Fitness_Std,Mean_GPS,Compile_Time,Mean_Exec_Time
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.5,485.3296862792969,39.35403296133339,41627.74081985661,0.9442764540144708,0.004804488450754434
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.7,485.3296862792969,39.35403296133339,42340.88402227332,0.847623620997183,0.004723566940519959
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.8,485.3296862792969,39.35403296133339,42287.575845815474,0.8447897490113974,0.004729521520202979
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,0.9,485.3296862792969,39.35403296133339,42323.50570795749,0.8296629750111606,0.00472550646867603
Standard_GA,sphere,50,128,200,0.8,0.5,0.5,1.0,485.3296862792969,39.35403296133339,42182.64693236542,0.8644335250137374,0.004741286157805007
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.5,485.3296862792969,39.35403296133339,41353.26491752439,1.0363761250046082,0.004836377500032541
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.7,485.3296862792969,39.35403296133339,40876.42087288886,1.0303005979803856,0.004892796280328185
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.8,485.3296862792969,39.35403296133339,42281.410908252336,1.0424266560003161,0.004730211118876468
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,0.9,485.3296862792969,39.35403296133339,42175.5612001954,1.000951547990553,0.00474208272062242
Standard_GA,sphere,50,128,200,0.8,0.5,0.2,1.0,485.3296862792969,39.35403296133339,40958.38256387214,1.0491414339921903,0.004883005321025848
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.5,485.3296862792969,39.35403296133339,40208.7276103392,1.0483616680139676,0.004974044489499647
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.7,485.3296862792969,39.35403296133339,41143.23556497553,1.0950434689875692,0.004861066400189884
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.8,485.3296862792969,39.35403296133339,41175.727779555666,1.0201397549826652,0.004857230479829013
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,0.9,485.3296862792969,39.35403296133339,40732.734561879224,1.062933494016761,0.004910055810178164
Standard_GA,sphere,50,128,200,0.8,0.5,0.4,1.0,485.3296862792969,39.35403296133339,41255.50929287555,1.1078478429990355,0.004847837378038094
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.5,485.3296862792969,39.35403296133339,40924.31058216183,1.0511694430024363,0.004887070720433258
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.7,485.3296862792969,39.35403296133339,41362.53089528913,1.0224383070017211,0.0048352940613403915
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.8,485.3296862792969,39.35403296133339,40788.16029997784,1.021342177002225,0.004903383690980263
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,0.9,485.3296862792969,39.35403296133339,41589.88108086852,1.016332553990651,0.004808862030913587
Standard_GA,sphere,50,128,200,0.8,0.5,0.3,1.0,485.3296862792969,39.35403296133339,41382.999475698154,1.0282919839955866,0.004832902460766491
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.5,485.3296862792969,39.35403296133339,41000.93096610109,1.1229392620152794,0.004877938019635621
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.7,485.3296862792969,39.35403296133339,41056.70921489244,1.05320918399957,0.004871311018941924
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.8,485.3296862792969,39.35403296133339,41173.4888270335,1.0117066800012253,0.00485749460873194
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,0.9,485.3296862792969,39.35403296133339,41421.18643030737,1.0359713679936249,0.0048284469189820815
Standard_GA,sphere,50,128,200,0.8,0.5,0.6,1.0,485.3296862792969,39.35403296133339,41449.4780705764,1.0076670899870805,0.004825151227705647
Standard_GA,sphere,50,128,200,0.8,0.5,0.7,0.5,485.3296862792969,39.35403296133339,40700.211418336854,1.0656957640021574,0.0049139793880749495
